Year,Latitude,Line,Line Group (Path ID),Longitude,Point Order,Station,Traffic
2013,48.862970836,6,6,2.287019844,4,Trocadéro,8973095
2013,48.903829916,7,7,2.39202195,3,Aubervilliers Pantin (4 Chemins),7051944
2013,48.875475187,7,7,2.343058954,13,Cadet,3612956
2013,48.84053588,7,7,2.351428812,25,Censier-Daubenton,3777857
2013,48.878312678,7,7,2.362298909,10,Château Landon,1644923
2013,48.858519522,7,7,2.347119401,20,Châtelet,13929657
2013,48.872897037,7,7,2.333501161,15,Chaussée d'Antin (La Fayette),7600254
2013,48.894906126,7,7,2.382445503,5,Corentin-Cariou,3178424
2013,48.890681163,7,7,2.376815289,6,Crimée,6945245
2013,48.9146922,7,7,2.404177101,2,Fort d'Aubervilliers,3927340
2013,48.876061306,7,7,2.357918677,11,Gare de l'Est (Verdun),19989528
2013,48.84583809,7,7,2.354691598,23,Jussieu,4202204
2013,48.920904359,7,7,2.410455427,1,La Courneuve-8-Mai-1945,5536146
2013,48.810380635,7,7,2.36161295,30,Le Kremlin-Bicêtre,4428481
2013,48.874936063,7,7,2.339802538,14,Le Peletier,2271055
2013,48.836610535,7,7,2.351642174,26,Les Gobelins,3835783
2013,48.881026103,7,7,2.365556958,9,Louis Blanc,2489483
2013,48.822620319,7,7,2.358188677,29,Maison Blanche,2122847
2013,48.870702941,7,7,2.331805156,16,Opéra,12269711
2013,48.862846822,7,7,2.335816612,18,Palais-Royal (Musée du Louvre),9385220
2013,48.831406154,7,7,2.355721373,27,Place d'Italie,11534907
2013,48.8431961,7,7,2.352178451,24,Place Monge (Jardin des Plantes),3057167
2013,48.877339551,7,7,2.349606239,12,Poissonnière,3594301
2013,48.853310745,7,7,2.357458816,21,Pont Marie (Cité des Arts),1624879
2013,48.858402253,7,7,2.341949236,19,Pont Neuf,1614109
2013,48.897810219,7,7,2.385806113,4,Porte de la Villette,3391140
2013,48.866946302,7,7,2.333665066,17,Pyramides,5172054
2013,48.888123558,7,7,2.374487426,7,Riquet,2537863
2013,48.88430479,7,7,2.367085015,8,Stalingrad,7588899
2013,48.85103384,7,7,2.361866964,22,Sully-Morland,1575223
2013,48.826506899,7,7,2.357241928,28,Tolbiac,3582639
2013,48.804174066,7,7,2.363943527,31,Villejuif-Léo Lagrange,2558494
2013,48.787002016,7,7,2.366974715,33,Villejuif-Louis Aragon,5814857
2013,48.795944727,7,7,2.367966137,32,Villejuif-Paul Vaillant Couturier (Hôpital Paul Brousse),2261934
2013,48.811178427,7 FOURCHE,7,2.383808273,6,Mairie d'Ivry,2907554
2013,48.822620319,7 FOURCHE,7,2.358188677,1,Maison Blanche,2122847
2013,48.815683661,7 FOURCHE,7,2.377286623,5,Pierre et Marie Curie,1404039
2013,48.818934611,7 FOURCHE,7,2.359855803,2,Porte d'Italie,2486263
2013,48.821270498,7 FOURCHE,7,2.369094944,4,Porte d'Ivry,1868796
2013,48.820145216,7 FOURCHE,7,2.364346445,3,Porte de Choisy,3085089
2013,48.88058343,7B,7B,2.373977833,3,Bolivar,646310
2013,48.879337727,7B,7B,2.388733991,5,Botzaris,951182
2013,48.879337727,7B,7B,2.388733991,9,Botzaris,951182
2013,48.877776984,7B,7B,2.38112932,4,Buttes-Chaumont,507867
2013,48.882023137,7B,7B,2.392702052,8,Danube,600883
2013,48.882543746,7B,7B,2.370231819,2,Jaurès,4992926
2013,48.881026103,7B,7B,2.365556958,1,Louis Blanc,2489483
2013,48.876819147,7B,7B,2.393473135,6,Place des Fêtes,3321050
2013,48.879934956,7B,7B,2.399076897,7,Pré-Saint-Gervais,365930
2013,48.836275463,8,8,2.278218327,1,Balard,4189814
2013,48.852841731,8,8,2.369180605,21,Bastille,13706765
2013,48.870558721,8,8,2.34867957,15,Bonne Nouvelle,4953438
2013,48.841240895,8,8,2.287634318,3,Boucicaut,3030137
2013,48.82136381,8,8,2.414074347,31,Charenton-Ecoles,3074333
2013,48.857564061,8,8,2.367934526,20,Chemin Vert,1483745
2013,48.844811192,8,8,2.29335345,5,Commerce,2814912
2013,48.866182996,8,8,2.323299878,10,Concorde,7176639
2013,48.796462387,8,8,2.449061871,35,Créteil-L'Echat (Hôpital Henri Mondor),2361971
2013,48.779748403,8,8,2.459144267,37,Créteil-Préfecture (Hôtel de Ville),4349228
2013,48.789350691,8,8,2.451447398,36,Créteil-Université,3395813
2013,48.839362913,8,8,2.395845908,26,Daumesnil (Félix Eboué),5195589
2013,48.854518549,8,8,2.305543816,7,Ecole Militaire,4443503
2013,48.815151795,8,8,2.420756359,32,Ecole Vétérinaire de Maisons-Alfort,3175166
2013,48.85023845,8,8,2.384274581,23,Faidherbe-Chaligny,3079358
2013,48.842977229,8,8,2.291997888,4,Félix Faure,1895590
2013,48.863302892,8,8,2.366453138,18,Filles du Calvaire,1784167
2013,48.871418908,8,8,2.34319701,14,Grands Boulevards,7092775
2013,48.86168654,8,8,2.314357043,9,Invalides,7283347
2013,48.849160502,8,8,2.297949299,6,La Motte-Picquet-Grenelle,8280583
2013,48.857385054,8,8,2.309598645,8,La Tour-Maubourg,2152005
2013,48.85119412,8,8,2.375945352,22,Ledru-Rollin,3917141
2013,48.82583808,8,8,2.406925578,30,Liberté,2557299
2013,48.83848811,8,8,2.281758523,2,Lourmel,2483440
2013,48.870064352,8,8,2.3251637,11,Madeleine,7475264
2013,48.80314187,8,8,2.444991027,34,Maisons-Alfort-Les Juilliottes,2085806
2013,48.808417621,8,8,2.435582204,33,Maisons-Alfort-Stade,1689344
2013,48.836703367,8,8,2.402969161,27,Michel Bizot,2038450
2013,48.844250463,8,8,2.389802138,25,Montgallet,1864016
2013,48.870702941,8,8,2.331805156,12,Opéra,12269711
2013,48.767957871,8,8,2.465989829,38,Pointe du Lac,2384761
2013,48.832525894,8,8,2.399701099,29,Porte de Charenton,1642061
2013,48.835438889,8,8,2.406018353,28,Porte Dorée,2702079
2013,48.867486039,8,8,2.363669598,17,République,16953175
2013,48.847238133,8,8,2.386118187,24,Reuilly-Diderot,5662974
2013,48.872013917,8,8,2.3390881,13,Richelieu-Drouot,5362641
2013,48.861280588,8,8,2.367024095,19,Saint-Sébastien-Froissart,1783783
2013,48.869199706,8,8,2.354097106,16,Strasbourg-Saint-Denis,9751180
2013,48.86464603,9,9,2.300883366,14,Alma-Marceau,4060044
2013,48.831943759,9,9,2.238109997,2,Billancourt,2838189
2013,48.870558721,9,9,2.34867957,23,Bonne Nouvelle,4953438
2013,48.851736062,9,9,2.401024825,32,Buzenval,1914564
2013,48.854766237,9,9,2.385270648,29,Charonne,4047046
2013,48.872897037,9,9,2.333501161,20,Chaussée d'Antin (La Fayette),7600254
2013,48.857926941,9,9,2.436098303,36,Croix-de-Chavaux (Jacques Duclos),5167717
2013,48.842427338,9,9,2.259736616,5,Exelmans,2060188
2013,48.869305229,9,9,2.308308765,15,Franklin-Roosevelt,11890240
2013,48.871418908,9,9,2.34319701,22,Grands Boulevards,7092775
2013,48.87334277,9,9,2.32850775,19,Havre-Caumartin,7899688
2013,48.864472897,9,9,2.293799959,13,Iéna,2280935
2013,48.852339601,9,9,2.267906814,8,Jasmin,2115456
2013,48.85793774,9,9,2.274117067,10,La Muette,4206204
2013,48.862360185,9,9,2.441656203,37,Mairie de Montreuil,6328612
2013,48.852663363,9,9,2.406230721,33,Maraichers,2903399
2013,48.833914301,9,9,2.244081388,3,Marcel Sembat,5942496
2013,48.847740346,9,9,2.264297442,7,Michel-Ange-Auteuil,2222709
2013,48.844867437,9,9,2.262047864,6,Michel-Ange-Molitor,2097256
2013,48.873706384,9,9,2.315199185,17,Miromesnil,5916541
2013,48.848465751,9,9,2.395905744,31,Nation,9541406
2013,48.864515624,9,9,2.368674236,26,Oberkampf,4167444
2013,48.829592984,9,9,2.230253648,1,Pont de Sèvres,4557271
2013,48.853449504,9,9,2.410434449,34,Porte de Montreuil,4862314
2013,48.837888387,9,9,2.256802515,4,Porte de Saint-Cloud,5284078
2013,48.855392031,9,9,2.26997975,9,Ranelagh,2390818
2013,48.867486039,9,9,2.363669598,25,République,16953175
2013,48.872013917,9,9,2.3390881,21,Richelieu-Drouot,5362641
2013,48.855564005,9,9,2.423556739,35,Robespierre,4448864
2013,48.864100413,9,9,2.277626329,11,Rue de la Pompe (Avenue Georges Mandel),3138962
2013,48.852141773,9,9,2.389142805,30,Rue des Boulets,2740221
2013,48.861212103,9,9,2.374097604,27,Saint-Ambroise,2780473
2013,48.874674272,9,9,2.320431397,18,Saint-Augustin,2994175
2013,48.87217982,9,9,2.309820094,16,Saint-Philippe du Roule,2833206
2013,48.869199706,9,9,2.354097106,24,Strasbourg-Saint-Denis,9751180
2013,48.862970836,9,9,2.287019844,12,Trocadéro,8973095
2013,48.857875843,9,9,2.37988392,28,Voltaire (Léon Blum),5341865
